"Município";"Ate 30 dias";"2 meses";"3 meses";"4 meses";"5 meses";"6 meses";"7 meses";"6 a 8 meses";"Menor de 1 ano";"1 ano";"2 anos";"3 anos";"4 anos";"5 anos";"6 anos";"7 anos";"8 anos";"9 anos";"10 anos";"11 anos";"12 anos";"13 anos";"14 anos";"15 anos";"16 anos";"17 anos";"18 anos";"19 anos";"1 a 4 anos";"2 a 4 anos";"5 a 6 anos";"5 a 8 anos";"5 a 9 anos";"5 a 10 anos";"7 a 9 anos";"7 a 11 anos";"7 a 14 anos";"7 anos e mais";"9 a 12 anos";"10 a 11 anos";"10 a 14 anos";"11 a 14 anos";"7 a 8 anos";"13 a 14 anos";"13 a 19 anos";"15 a 16 anos";"15 a 19 anos";"15 a 59 anos";"17 a 19 anos";"20 a 24 anos";"20 a 59 anos";"20 a 26 anos";"27 e mais";"25 a 29 anos";"30 a 34 anos";"30 a 39 anos";"35 a 39 anos";"40 a 44 anos";"40 a 49 anos";"45 a 49 anos";"50 a 59 anos";"60 a 64 anos";"60 anos e mais";"65 a 69 anos";"65 anos e mais";"70 a 74 anos";"75 a 79 anos";"Gestantes 10 a 11 anos";"Gestantes 12 a 14 anos";"Gestantes 15 a 49 anos";"Não gestantes 15 a 49 anos";"9 a 19 anos";" Total"
"220350 ELESBAO VELOSO";"39";"132";"17";"105";"32";"10";"3";"0";"1935";"1191";"25";"12";"648";"0";"0";"0";"0";"89";"64";"332";"208";"61";"28";"1";"0";"0";"0";"0";"0";"0";"7";"0";"278";"0";"0";"29";"0";"0";"0";"0";"217";"0";"0";"49";"0";"60";"22";"33";"49";"94";"0";"1";"1";"83";"22";"0";"13";"3";"0";"2";"6";"0";"1";"0";"87";"0";"0";"0";"2";"392";"328";"0";"6711"
"220360 ELISEU MARTINS";"9";"31";"19";"28";"28";"12";"5";"1";"642";"502";"42";"10";"180";"0";"0";"0";"0";"43";"14";"101";"81";"46";"18";"4";"0";"0";"0";"0";"0";"0";"2";"0";"16";"0";"0";"2";"0";"0";"0";"0";"3";"0";"0";"5";"0";"5";"6";"20";"8";"63";"0";"0";"0";"88";"70";"4";"105";"105";"0";"57";"8";"0";"3";"0";"21";"0";"0";"0";"0";"174";"147";"0";"2728"
"220370 ESPERANTINA";"981";"334";"62";"304";"87";"37";"14";"6";"5958";"4315";"248";"63";"2152";"11";"2";"0";"0";"277";"173";"794";"508";"123";"52";"16";"0";"1";"0";"0";"0";"29";"15";"11";"239";"0";"0";"22";"0";"0";"0";"0";"55";"2";"0";"17";"0";"17";"84";"464";"24";"253";"3";"0";"2";"452";"280";"147";"238";"227";"0";"157";"205";"65";"48";"76";"199";"31";"36";"0";"6";"908";"1301";"37";"22168"
"220375 FARTURA DO PIAUI";"3";"23";"8";"33";"16";"15";"8";"0";"628";"648";"31";"7";"182";"0";"0";"0";"0";"37";"16";"83";"45";"14";"13";"4";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"5";"0";"1";"0";"0";"2";"0";"0";"7";"0";"5";"4";"6";"8";"9";"0";"0";"0";"24";"11";"3";"8";"8";"0";"1";"7";"0";"1";"0";"14";"0";"0";"0";"6";"102";"112";"0";"2159"
"220380 FLORES DO PIAUI";"16";"40";"8";"32";"13";"4";"1";"0";"597";"564";"9";"0";"268";"1";"0";"0";"0";"57";"27";"135";"66";"14";"8";"5";"0";"0";"0";"0";"0";"0";"0";"0";"12";"0";"0";"14";"0";"0";"1";"0";"7";"0";"0";"22";"0";"14";"28";"469";"52";"143";"0";"0";"0";"198";"56";"21";"66";"60";"0";"57";"39";"0";"0";"0";"43";"0";"0";"0";"4";"116";"449";"0";"3736"
"220385 FLORESTA DO PIAUI";"4";"24";"0";"19";"5";"0";"0";"0";"291";"177";"1";"0";"83";"0";"0";"0";"0";"18";"9";"37";"39";"33";"19";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"4";"0";"10";"0";"1";"15";"4";"1";"0";"0";"10";"6";"0";"2";"8";"0";"4";"0";"0";"6";"0";"43";"0";"0";"0";"0";"42";"68";"0";"987"
"220390 FLORIANO";"2745";"617";"78";"487";"145";"31";"9";"5";"10439";"5607";"257";"113";"2882";"9";"1";"0";"0";"390";"247";"862";"665";"211";"84";"16";"7";"3";"2";"0";"0";"38";"62";"27";"501";"7";"0";"134";"0";"3";"1";"0";"266";"8";"0";"75";"2";"115";"318";"415";"141";"453";"2";"11";"6";"525";"136";"112";"132";"97";"0";"79";"149";"28";"46";"22";"372";"15";"16";"0";"6";"1674";"1971";"14";"33891"
"220400 FRANCINOPOLIS";"5";"29";"1";"28";"12";"2";"1";"1";"492";"383";"26";"2";"124";"0";"0";"0";"0";"16";"7";"41";"37";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"15";"0";"17";"6";"5";"17";"34";"0";"0";"0";"38";"10";"1";"10";"3";"0";"3";"2";"0";"4";"0";"26";"0";"0";"0";"6";"76";"51";"0";"1539"
"220410 FRANCISCO AYRES";"0";"44";"11";"48";"11";"7";"1";"2";"647";"548";"16";"2";"222";"0";"0";"0";"0";"24";"24";"62";"52";"26";"17";"2";"0";"0";"0";"0";"0";"1";"0";"0";"37";"0";"0";"13";"0";"0";"0";"0";"41";"0";"0";"4";"0";"17";"20";"11";"8";"53";"0";"0";"0";"44";"12";"4";"16";"8";"0";"3";"8";"0";"1";"0";"50";"0";"0";"0";"4";"124";"101";"0";"2346"
"220415 FRANCISCO MACEDO";"2";"19";"3";"15";"3";"1";"0";"0";"236";"165";"14";"0";"122";"0";"0";"0";"0";"9";"12";"22";"29";"24";"20";"1";"0";"0";"0";"0";"0";"0";"4";"3";"101";"0";"0";"20";"0";"0";"0";"0";"90";"0";"0";"20";"0";"41";"8";"9";"34";"25";"0";"1";"0";"15";"7";"6";"9";"2";"0";"2";"2";"0";"0";"0";"3";"0";"0";"0";"0";"44";"35";"0";"1178"
"220420 FRANCISCO SANTOS";"27";"76";"6";"64";"12";"0";"1";"0";"895";"629";"27";"11";"290";"0";"0";"0";"0";"25";"19";"134";"98";"10";"4";"0";"0";"0";"0";"0";"1";"0";"11";"0";"3";"0";"0";"38";"0";"0";"1";"0";"0";"0";"0";"49";"0";"76";"16";"16";"78";"73";"0";"0";"0";"84";"4";"1";"3";"2";"0";"0";"3";"1";"3";"1";"56";"1";"1";"0";"6";"212";"158";"1";"3227"
"220430 FRONTEIRAS";"47";"88";"10";"67";"22";"9";"0";"2";"1161";"724";"15";"2";"277";"0";"0";"0";"0";"37";"14";"129";"68";"23";"5";"2";"0";"0";"0";"0";"0";"0";"0";"0";"26";"0";"0";"9";"0";"0";"0";"0";"3";"0";"0";"9";"0";"15";"14";"34";"27";"90";"0";"1";"0";"100";"57";"0";"44";"37";"0";"20";"5";"0";"0";"0";"31";"0";"0";"0";"0";"294";"166";"0";"3684"
"220435 GEMINIANO";"4";"86";"8";"93";"17";"3";"1";"0";"1095";"593";"31";"8";"254";"1";"0";"0";"0";"46";"21";"69";"25";"11";"4";"0";"0";"0";"0";"0";"0";"3";"3";"1";"58";"0";"0";"5";"0";"0";"0";"0";"9";"1";"0";"1";"0";"8";"16";"83";"10";"98";"0";"1";"1";"76";"19";"36";"18";"22";"0";"16";"34";"9";"5";"8";"43";"9";"5";"0";"2";"140";"370";"19";"3499"
"220440 GILBUES";"78";"79";"32";"60";"35";"16";"5";"2";"1732";"1092";"49";"6";"352";"0";"0";"0";"0";"42";"20";"130";"75";"25";"8";"7";"0";"0";"0";"0";"0";"0";"3";"10";"14";"0";"0";"12";"0";"2";"1";"0";"64";"60";"0";"16";"0";"12";"106";"141";"12";"147";"8";"0";"0";"139";"22";"36";"24";"13";"0";"15";"37";"3";"18";"2";"79";"0";"0";"0";"6";"166";"300";"0";"5313"
"220450 GUADALUPE";"16";"104";"17";"82";"35";"20";"5";"0";"1471";"1201";"58";"5";"417";"0";"0";"0";"0";"61";"32";"145";"114";"38";"23";"1";"0";"0";"0";"0";"0";"4";"4";"3";"12";"0";"0";"38";"0";"0";"1";"0";"3";"1";"0";"47";"0";"69";"46";"43";"70";"60";"1";"0";"0";"80";"21";"11";"9";"7";"0";"0";"19";"1";"4";"0";"18";"0";"0";"0";"8";"324";"186";"6";"4941"
"220455 GUARIBAS";"28";"74";"10";"43";"30";"24";"18";"1";"1184";"868";"9";"7";"519";"4";"0";"0";"0";"33";"20";"107";"28";"7";"9";"0";"0";"0";"0";"2";"0";"143";"3";"60";"61";"0";"0";"5";"2";"0";"0";"0";"5";"0";"0";"0";"1";"1";"10";"62";"1";"27";"5";"2";"0";"60";"16";"81";"21";"10";"0";"8";"136";"23";"6";"13";"40";"24";"10";"0";"2";"98";"190";"20";"4171"
"220460 HUGO NAPOLEAO";"17";"52";"11";"50";"9";"8";"0";"1";"719";"388";"10";"4";"132";"1";"0";"0";"0";"43";"29";"44";"24";"22";"6";"4";"0";"0";"0";"1";"0";"0";"6";"1";"24";"0";"0";"15";"0";"0";"0";"0";"19";"0";"0";"13";"0";"22";"6";"20";"29";"55";"1";"2";"0";"69";"20";"8";"25";"15";"0";"14";"10";"0";"6";"0";"30";"0";"0";"0";"0";"110";"115";"0";"2210"
"220465 ILHA GRANDE";"2";"101";"20";"73";"31";"15";"6";"0";"1406";"784";"76";"19";"315";"0";"0";"0";"0";"41";"31";"163";"110";"43";"16";"5";"1";"0";"0";"0";"0";"18";"6";"10";"52";"0";"0";"15";"0";"0";"0";"0";"44";"0";"0";"11";"1";"13";"24";"46";"27";"95";"7";"0";"0";"97";"49";"64";"63";"50";"0";"39";"28";"47";"3";"43";"8";"26";"26";"0";"2";"208";"236";"35";"4651"
"220470 INHUMA";"72";"124";"11";"143";"22";"9";"3";"1";"1985";"1365";"53";"20";"649";"2";"0";"0";"0";"107";"48";"419";"314";"76";"26";"3";"0";"0";"0";"0";"0";"0";"5";"4";"61";"0";"0";"26";"0";"3";"0";"0";"5";"1";"0";"14";"1";"45";"26";"38";"31";"71";"10";"1";"2";"92";"18";"28";"11";"9";"0";"7";"41";"0";"14";"2";"128";"6";"0";"0";"2";"290";"459";"8";"6911"
"220480 IPIRANGA DO PIAUI";"0";"20";"2";"17";"3";"0";"0";"0";"263";"138";"4";"0";"97";"0";"0";"0";"0";"14";"7";"28";"25";"6";"6";"0";"0";"0";"0";"0";"0";"25";"3";"3";"15";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"7";"0";"12";"8";"7";"8";"41";"1";"0";"0";"44";"4";"15";"3";"2";"0";"2";"45";"8";"1";"10";"12";"6";"8";"0";"2";"52";"74";"9";"1058"
"220490 ISAIAS COELHO";"41";"89";"12";"66";"18";"0";"1";"0";"1106";"884";"13";"3";"497";"0";"0";"0";"0";"81";"36";"169";"164";"54";"19";"3";"0";"0";"0";"0";"1";"0";"3";"2";"207";"0";"0";"9";"0";"0";"2";"0";"90";"0";"0";"9";"2";"18";"44";"14";"19";"39";"1";"1";"0";"70";"21";"4";"13";"11";"0";"2";"15";"0";"1";"0";"49";"0";"0";"0";"2";"276";"257";"1";"4439"
"220500 ITAINOPOLIS";"18";"75";"15";"79";"19";"5";"3";"0";"1183";"791";"11";"11";"369";"1";"0";"0";"0";"39";"24";"142";"100";"14";"12";"2";"0";"0";"0";"0";"0";"22";"2";"0";"40";"0";"0";"28";"0";"0";"1";"0";"7";"0";"0";"35";"0";"69";"32";"19";"65";"159";"1";"0";"0";"156";"174";"35";"216";"197";"0";"177";"74";"26";"5";"13";"38";"16";"18";"0";"0";"334";"255";"13";"5140"
"220510 ITAUEIRA";"47";"73";"11";"43";"23";"14";"2";"0";"1069";"976";"46";"7";"411";"1";"0";"0";"0";"78";"23";"128";"63";"37";"16";"5";"0";"0";"0";"0";"1";"0";"1";"2";"65";"0";"0";"4";"0";"0";"0";"0";"3";"0";"0";"6";"1";"13";"28";"90";"34";"43";"15";"0";"0";"71";"15";"13";"10";"6";"0";"3";"32";"0";"20";"0";"43";"0";"0";"0";"0";"122";"238";"2";"3954"
"220515 JACOBINA DO PIAUI";"44";"60";"5";"53";"5";"1";"1";"0";"771";"448";"7";"7";"200";"0";"0";"0";"0";"30";"27";"101";"80";"15";"9";"3";"0";"0";"0";"0";"0";"0";"1";"2";"54";"0";"0";"16";"0";"0";"1";"0";"52";"0";"0";"9";"0";"22";"12";"27";"29";"52";"1";"0";"0";"54";"9";"4";"8";"6";"0";"5";"16";"0";"8";"0";"19";"0";"0";"0";"4";"158";"180";"0";"2616"
"220520 JAICOS";"108";"212";"19";"178";"42";"14";"6";"2";"2751";"1888";"34";"17";"746";"0";"0";"0";"0";"123";"68";"287";"234";"62";"15";"0";"0";"0";"0";"0";"0";"0";"4";"3";"200";"0";"0";"12";"0";"1";"0";"0";"57";"1";"0";"18";"0";"13";"36";"87";"19";"69";"0";"0";"0";"91";"11";"16";"10";"15";"0";"6";"17";"0";"1";"0";"48";"0";"0";"0";"14";"542";"508";"1";"8606"
"220525 JARDIM DO MULATO";"2";"28";"2";"33";"12";"2";"2";"2";"461";"309";"12";"1";"151";"0";"0";"0";"0";"29";"13";"29";"55";"20";"3";"1";"0";"0";"0";"0";"0";"0";"3";"0";"53";"0";"0";"6";"0";"0";"0";"0";"65";"0";"0";"24";"0";"41";"28";"38";"38";"32";"2";"0";"0";"53";"3";"1";"4";"4";"0";"0";"0";"0";"2";"0";"30";"0";"0";"0";"0";"92";"132";"0";"1818"
"220527 JATOBA DO PIAUI";"21";"51";"6";"38";"13";"2";"4";"0";"713";"746";"22";"19";"245";"3";"1";"0";"0";"70";"27";"135";"89";"40";"26";"2";"0";"0";"0";"0";"0";"0";"19";"3";"21";"0";"0";"4";"0";"2";"0";"0";"35";"1";"0";"1";"0";"9";"0";"22";"12";"11";"4";"0";"0";"21";"19";"11";"23";"28";"0";"10";"38";"0";"15";"0";"38";"0";"0";"0";"2";"64";"221";"0";"2907"
"220530 JERUMENHA";"0";"7";"1";"7";"2";"0";"0";"1";"126";"72";"4";"1";"39";"0";"0";"0";"0";"6";"7";"8";"29";"4";"2";"1";"0";"0";"0";"0";"0";"0";"22";"0";"2";"0";"0";"51";"0";"0";"0";"0";"0";"0";"0";"42";"0";"40";"2";"2";"48";"28";"0";"0";"0";"15";"4";"0";"0";"1";"0";"1";"5";"0";"0";"0";"6";"0";"0";"0";"0";"26";"25";"0";"637"
"220535 JOAO COSTA";"6";"35";"8";"27";"8";"4";"1";"1";"483";"367";"12";"8";"185";"0";"0";"0";"0";"28";"22";"42";"57";"5";"4";"1";"0";"0";"0";"0";"0";"2";"0";"2";"2";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"4";"0";"1";"2";"18";"3";"16";"1";"0";"0";"31";"18";"3";"7";"4";"0";"7";"14";"0";"0";"0";"15";"0";"0";"0";"0";"78";"77";"5";"1616"
"220540 JOAQUIM PIRES";"15";"100";"36";"85";"49";"28";"6";"4";"1753";"1323";"61";"28";"513";"1";"2";"0";"0";"106";"67";"326";"254";"43";"27";"7";"2";"0";"0";"0";"0";"2";"6";"1";"135";"0";"0";"17";"0";"2";"0";"0";"14";"0";"0";"28";"0";"52";"20";"81";"24";"44";"3";"1";"0";"78";"33";"35";"38";"38";"0";"39";"29";"1";"7";"0";"34";"1";"1";"0";"2";"268";"398";"4";"6272"
"220545 JOCA MARQUES";"0";"17";"1";"14";"7";"3";"0";"0";"254";"198";"29";"17";"85";"1";"2";"0";"0";"22";"24";"35";"15";"12";"4";"1";"0";"0";"0";"0";"0";"14";"1";"5";"42";"1";"1";"6";"0";"1";"0";"0";"44";"3";"0";"1";"0";"3";"30";"29";"4";"16";"1";"0";"1";"31";"6";"29";"10";"7";"0";"4";"16";"1";"2";"0";"1";"0";"0";"0";"0";"34";"49";"12";"1146"
"220550 JOSE DE FREITAS";"188";"513";"64";"411";"100";"32";"11";"6";"5838";"4757";"273";"80";"1927";"9";"0";"0";"0";"310";"142";"712";"351";"150";"71";"7";"0";"0";"0";"0";"4";"2";"27";"23";"286";"1";"0";"72";"0";"4";"0";"0";"62";"1";"0";"118";"3";"163";"132";"121";"167";"357";"8";"0";"0";"486";"355";"64";"324";"273";"2";"208";"68";"37";"24";"42";"81";"27";"26";"2";"10";"1084";"750";"4";"21370"
"220551 JUAZEIRO DO PIAUI";"26";"47";"10";"49";"25";"6";"4";"0";"884";"720";"16";"6";"279";"0";"0";"0";"0";"56";"19";"94";"43";"20";"20";"0";"0";"0";"0";"0";"1";"6";"0";"2";"60";"0";"0";"2";"0";"0";"0";"0";"9";"0";"0";"2";"1";"5";"6";"6";"8";"32";"3";"0";"0";"28";"10";"11";"7";"9";"0";"1";"14";"2";"3";"8";"29";"3";"3";"0";"0";"140";"95";"3";"2833"
"220552 JULIO BORGES";"20";"41";"7";"47";"10";"5";"1";"1";"736";"443";"7";"0";"97";"0";"0";"0";"0";"10";"5";"32";"25";"4";"1";"1";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"6";"0";"1";"5";"0";"0";"0";"2";"3";"7";"3";"2";"0";"1";"1";"0";"0";"0";"9";"0";"0";"0";"0";"78";"33";"0";"1650"
"220553 JUREMA";"3";"55";"6";"52";"17";"7";"0";"1";"881";"642";"48";"12";"324";"1";"0";"0";"0";"35";"7";"91";"64";"17";"7";"2";"0";"0";"0";"0";"0";"0";"1";"2";"77";"0";"0";"1";"0";"0";"0";"0";"18";"0";"0";"1";"0";"8";"6";"57";"4";"21";"0";"0";"0";"56";"17";"9";"28";"15";"0";"7";"7";"0";"0";"0";"37";"1";"0";"0";"4";"156";"184";"0";"2989"
"220554 LAGOINHA DO PIAUI";"5";"42";"13";"26";"15";"3";"2";"0";"481";"464";"32";"20";"167";"0";"0";"0";"0";"38";"10";"72";"44";"31";"14";"0";"0";"0";"0";"0";"0";"0";"3";"3";"3";"0";"0";"13";"0";"0";"0";"0";"0";"1";"0";"9";"0";"11";"26";"17";"16";"130";"5";"0";"0";"108";"85";"9";"85";"98";"0";"87";"121";"0";"11";"0";"33";"0";"0";"0";"4";"98";"119";"0";"2574"
"220555 LAGOA ALEGRE";"29";"103";"9";"97";"16";"10";"1";"0";"1410";"1082";"20";"5";"485";"2";"0";"0";"0";"66";"37";"217";"177";"43";"24";"6";"0";"0";"0";"0";"0";"0";"2";"2";"134";"0";"0";"7";"1";"0";"2";"0";"7";"1";"0";"11";"0";"17";"44";"55";"37";"98";"0";"0";"0";"100";"28";"7";"20";"20";"0";"34";"11";"4";"6";"1";"44";"1";"1";"0";"4";"334";"221";"0";"5093"
"220556 LAGOA DO BARRO DO PIAUI";"30";"62";"9";"57";"11";"5";"3";"1";"937";"597";"45";"10";"327";"0";"0";"0";"0";"45";"30";"132";"70";"11";"8";"6";"0";"0";"0";"0";"0";"9";"2";"1";"107";"0";"0";"0";"0";"0";"0";"0";"76";"0";"0";"1";"0";"1";"16";"101";"14";"48";"0";"0";"0";"106";"53";"15";"46";"50";"0";"23";"28";"0";"6";"0";"65";"0";"0";"0";"4";"126";"350";"2";"3646"
"220557 LAGOA DE SAO FRANCISCO";"11";"49";"10";"52";"12";"9";"1";"0";"812";"686";"31";"9";"284";"0";"0";"0";"0";"38";"13";"61";"28";"10";"6";"2";"0";"0";"0";"0";"0";"4";"2";"0";"3";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"9";"1";"5";"0";"0";"0";"9";"5";"9";"5";"2";"0";"2";"6";"2";"1";"0";"14";"0";"0";"0";"0";"104";"58";"2";"2372"
"220558 LAGOA DO PIAUI";"23";"70";"4";"60";"12";"10";"3";"0";"938";"520";"29";"13";"273";"0";"0";"0";"0";"38";"24";"139";"88";"23";"8";"5";"0";"0";"0";"0";"1";"0";"0";"0";"16";"0";"0";"30";"0";"0";"0";"0";"88";"0";"0";"48";"0";"29";"42";"189";"35";"82";"1";"0";"0";"86";"85";"11";"65";"61";"0";"30";"31";"0";"7";"0";"59";"0";"0";"0";"0";"208";"332";"0";"3816"
"220559 LAGOA DO SITIO";"8";"34";"6";"35";"7";"1";"0";"0";"465";"239";"8";"4";"193";"2";"1";"0";"0";"29";"18";"70";"41";"20";"12";"4";"0";"0";"0";"0";"0";"0";"4";"3";"52";"0";"0";"16";"0";"0";"1";"0";"129";"1";"0";"6";"0";"19";"4";"18";"8";"20";"2";"0";"0";"32";"16";"1";"9";"5";"0";"11";"20";"0";"6";"1";"18";"0";"0";"0";"0";"54";"147";"0";"1800"
"220560 LANDRI SALES";"16";"80";"7";"50";"16";"7";"0";"0";"925";"643";"31";"6";"255";"0";"0";"0";"0";"71";"23";"174";"113";"17";"5";"1";"0";"0";"0";"0";"0";"0";"1";"3";"29";"0";"0";"13";"0";"0";"0";"0";"0";"0";"0";"20";"1";"24";"14";"47";"14";"44";"13";"0";"0";"73";"5";"17";"21";"13";"0";"6";"44";"0";"11";"0";"75";"0";"0";"0";"0";"188";"193";"0";"3309"
"220570 LUIS CORREIA";"28";"97";"38";"57";"40";"23";"12";"4";"2183";"2017";"137";"23";"511";"1";"0";"0";"0";"74";"50";"219";"137";"36";"18";"6";"0";"0";"0";"0";"1";"12";"9";"16";"49";"0";"0";"29";"0";"0";"1";"0";"19";"1";"0";"12";"0";"26";"66";"66";"27";"78";"3";"1";"1";"125";"37";"35";"28";"35";"0";"30";"50";"33";"4";"20";"51";"18";"14";"0";"6";"268";"432";"11";"7325"
"220580 LUZILANDIA";"300";"124";"21";"68";"45";"16";"4";"2";"1979";"1232";"101";"24";"475";"3";"0";"0";"0";"68";"36";"149";"75";"24";"17";"6";"0";"2";"0";"0";"0";"4";"13";"5";"19";"0";"0";"29";"0";"6";"0";"0";"5";"1";"0";"19";"0";"17";"80";"70";"25";"116";"0";"1";"7";"153";"26";"24";"6";"6";"0";"2";"12";"0";"5";"0";"18";"0";"0";"0";"4";"190";"234";"5";"5873"
"220585 MADEIRO";"15";"95";"20";"80";"32";"13";"4";"2";"1462";"956";"74";"17";"369";"0";"0";"0";"0";"78";"31";"194";"136";"57";"10";"7";"2";"1";"0";"0";"0";"27";"20";"7";"126";"0";"0";"95";"0";"1";"0";"0";"8";"0";"0";"133";"0";"180";"174";"169";"217";"261";"0";"0";"6";"354";"84";"15";"67";"39";"0";"29";"88";"16";"253";"9";"80";"13";"3";"0";"8";"248";"564";"7";"6956"
"220590 MANOEL EMIDIO";"79";"72";"12";"48";"25";"3";"1";"6";"859";"437";"22";"0";"151";"0";"0";"0";"0";"27";"17";"46";"58";"10";"4";"2";"0";"0";"0";"0";"2";"0";"1";"0";"1";"0";"0";"6";"0";"0";"0";"0";"0";"0";"0";"3";"0";"1";"16";"15";"5";"23";"0";"1";"0";"25";"3";"0";"2";"4";"0";"3";"1";"0";"0";"0";"8";"0";"0";"0";"0";"120";"56";"0";"2175"
"220595 MARCOLANDIA";"39";"82";"7";"88";"16";"10";"2";"0";"1351";"819";"30";"3";"378";"1";"0";"0";"0";"52";"46";"173";"125";"26";"14";"3";"0";"0";"0";"0";"0";"10";"3";"7";"185";"0";"0";"7";"0";"0";"0";"0";"163";"0";"0";"6";"0";"21";"38";"152";"26";"123";"0";"0";"0";"161";"95";"7";"77";"60";"0";"44";"40";"0";"6";"0";"86";"0";"0";"0";"4";"294";"375";"27";"5282"
"220600 MARCOS PARENTE";"3";"14";"3";"25";"7";"1";"0";"0";"414";"472";"25";"0";"188";"0";"0";"0";"0";"34";"5";"58";"34";"8";"6";"0";"0";"0";"0";"0";"0";"0";"3";"1";"47";"0";"0";"4";"0";"0";"1";"0";"14";"2";"0";"2";"0";"2";"8";"15";"4";"21";"1";"1";"0";"23";"7";"2";"3";"2";"0";"3";"2";"0";"0";"0";"19";"0";"0";"0";"0";"146";"58";"0";"1688"
"220605 MASSAPE DO PIAUI";"11";"25";"15";"40";"13";"5";"2";"7";"682";"421";"21";"18";"191";"1";"0";"0";"0";"43";"19";"99";"56";"32";"6";"2";"0";"0";"0";"0";"0";"1";"1";"4";"20";"0";"0";"5";"0";"0";"2";"0";"5";"0";"0";"13";"0";"28";"26";"182";"21";"64";"5";"0";"1";"120";"69";"77";"88";"95";"0";"56";"64";"1";"11";"1";"69";"1";"0";"0";"0";"58";"443";"37";"3277"
"220610 MATIAS OLIMPIO";"14";"132";"30";"102";"43";"21";"12";"2";"1814";"1496";"48";"11";"681";"5";"1";"0";"0";"128";"32";"275";"154";"47";"12";"1";"0";"0";"0";"0";"0";"51";"6";"6";"235";"1";"0";"28";"0";"0";"0";"0";"24";"2";"0";"23";"0";"35";"40";"237";"41";"135";"1";"0";"0";"144";"42";"65";"40";"40";"0";"28";"129";"9";"13";"11";"41";"5";"4";"0";"4";"308";"428";"26";"7263"
"220620 MIGUEL ALVES";"117";"298";"104";"186";"136";"94";"54";"5";"4125";"3878";"713";"281";"1013";"16";"0";"0";"0";"195";"143";"269";"164";"91";"39";"15";"0";"1";"0";"2";"0";"58";"16";"39";"5";"0";"0";"46";"0";"4";"1";"0";"1";"2";"0";"9";"0";"3";"174";"37";"12";"164";"0";"9";"2";"126";"8";"49";"10";"7";"0";"1";"15";"1";"1";"1";"1";"0";"1";"0";"0";"828";"473";"37";"14080"
"220630 MIGUEL LEAO";"0";"11";"4";"17";"3";"0";"2";"6";"261";"141";"1";"5";"65";"1";"0";"0";"0";"13";"3";"21";"26";"8";"4";"1";"0";"0";"0";"0";"2";"9";"7";"0";"10";"0";"0";"24";"0";"0";"0";"0";"0";"8";"0";"15";"0";"13";"28";"5";"23";"35";"0";"1";"0";"31";"27";"40";"28";"17";"0";"14";"69";"31";"9";"23";"4";"16";"9";"0";"0";"30";"42";"26";"1189"
"220635 MILTON BRANDAO";"1";"55";"8";"38";"20";"8";"1";"0";"724";"503";"18";"5";"213";"0";"0";"0";"0";"38";"23";"104";"48";"26";"6";"8";"0";"0";"0";"0";"0";"0";"4";"0";"3";"0";"0";"6";"0";"0";"0";"0";"2";"0";"0";"4";"0";"15";"8";"4";"11";"5";"0";"0";"0";"23";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"21";"0";"0";"0";"2";"80";"96";"0";"2133"
"220640 MONSENHOR GIL";"44";"135";"14";"110";"38";"7";"3";"2";"1629";"1113";"41";"15";"527";"0";"1";"0";"0";"70";"43";"225";"115";"55";"16";"2";"0";"0";"0";"0";"2";"0";"6";"8";"169";"0";"0";"11";"0";"0";"4";"0";"108";"2";"0";"19";"19";"30";"40";"97";"28";"202";"36";"1";"0";"191";"66";"44";"81";"65";"0";"56";"49";"0";"19";"0";"97";"0";"0";"0";"2";"278";"469";"0";"6404"
"220650 MONSENHOR HIPOLITO";"3";"79";"7";"65";"12";"3";"1";"0";"882";"579";"10";"1";"294";"0";"0";"0";"0";"60";"11";"184";"90";"12";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"18";"0";"1";"0";"0";"4";"1";"1";"16";"0";"15";"20";"26";"39";"52";"1";"1";"0";"101";"5";"5";"3";"1";"0";"1";"8";"0";"5";"0";"21";"0";"0";"0";"0";"186";"199";"0";"3026"
"220660 MONTE ALEGRE DO PIAUI";"24";"98";"26";"73";"31";"18";"9";"0";"1562";"1171";"88";"38";"481";"4";"0";"0";"0";"82";"64";"249";"169";"67";"19";"2";"0";"0";"1";"0";"0";"105";"11";"19";"57";"3";"1";"38";"0";"0";"0";"0";"23";"12";"0";"13";"2";"12";"94";"215";"16";"181";"16";"0";"0";"239";"27";"105";"15";"12";"0";"18";"124";"73";"13";"75";"42";"47";"35";"0";"8";"434";"574";"26";"6961"
